Domanda,Opzione A,Opzione B,Opzione C,Risposta corretta
 Si definisce combustione:,qualunque reazione chimica nella quale alcune sostanze (reagenti) si trasformano in altre (prodotti),"la trasformazione che un materiale subisce nella sua forma, senza che venga alterata la sua natura chimica","qualunque reazione chimica nella quale un combustibile reagisce con un comburente (ossigeno) dando luogo a sviluppo di calore, fiamma e luce, gas e fumo ","qualunque reazione chimica nella quale un combustibile reagisce con un comburente (ossigeno) dando luogo a sviluppo di calore, fiamma e luce, gas e fumo "
"Affinché la reazione di combustione abbia luogo è necessaria la presenza di una fonte di innesco, cioè:",esclusivamente di una fiamma libera che fornisca la necessaria energia in grado di attivare la reazione di combustione,di un adeguata percentuale di ossigeno nell’aria ,di una sorgente di calore che fornisca la necessaria energia in grado di attivare la reazione di combustione,di una sorgente di calore che fornisca la necessaria energia in grado di attivare la reazione di combustione
"Affinché la reazione di combustione abbia inizio, deve sempre verificarsi: ",La contemporanea presenza del combustibile e del comburente,La contemporanea presenza del combustibile e della giusta temperatura o innesco,"La contemporanea presenza del combustibile, del comburente e dell’innesco/sorgente di calore","La contemporanea presenza del combustibile, del comburente e dell’innesco/sorgente di calore"
"In caso di mancata presenza di uno degli elementi del “triangolo del fuoco” (combustibile, comburente e innesco/sorgente di calore) ",La reazione di combustione (incendio) può avvenire lo stesso con percentuali elevate di ossigeno in aria,La reazione di combustione (incendio) può avvenire lo stesso se in presenza di un’adeguata quantità di materiale combustibile,La reazione di combustione (incendio) non ha luogo ,La reazione di combustione (incendio) non ha luogo 
La propagazione della combustione richiede la presenza contemporanea di,Comburente e temperatura adeguata,Combustibili e temperatura adeguata,"Combustibile, comburente e temperatura adeguata ","Combustibile, comburente e temperatura adeguata "
Il combustibile è:,"Qualunque sostanza ossidante, in genere l’ossigeno presente nell’aria, che partecipa alla reazione di combustione",Il calore fornito alle sostanze combustibili e comburenti per attivare la reazione di combustione,"Qualunque sostanza che, ossidandosi, partecipa alla reazione chimica di combustione  (es: legna, benzina,…)","Qualunque sostanza che, ossidandosi, partecipa alla reazione chimica di combustione  (es: legna, benzina,…)"
Il comburente è:,una sostanza che a contatto con altre sostanze combustibili provoca una reazione endotermica,una sostanza che a contatto con altre sostanze combustibili provoca una reazione esotermica,una sostanza che a contatto con altre sostanze comburenti provoca una reazione esotermica,una sostanza che a contatto con altre sostanze combustibili provoca una reazione esotermica
Per ottenere lo spegnimento dell’incendio si può ricorrere ,solo al raffreddamento,solo all’esaurimento del combustibile o al soffocamento,all’esaurimento del combustibile o al soffocamento o al raffreddamento o all’inibizione chimica,all’esaurimento del combustibile o al soffocamento o al raffreddamento o all’inibizione chimica
"Per ottenere lo spegnimento dell’incendio si può ricorrere all’esaurimento del combustibile, che consiste",Nell’allontanamento o separazione della sostanza combustibile dal focolaio d’incendio;,Nella separazione del comburente dal combustibile o riduzione della concentrazione di comburente in aria;,Nella sottrazione di calore fino ad ottenere una temperatura inferiore a quella necessaria al mantenimento della combustione;,Nell’allontanamento o separazione della sostanza combustibile dal focolaio d’incendio;
"Per ottenere lo spegnimento dell’incendio si può ricorrere al soffocamento, che consiste",Nell’allontanamento o separazione della sostanza combustibile dal focolaio d’incendio;,Nella separazione del comburente dal combustibile o riduzione della concentrazione di comburente in aria;,Nella sottrazione di calore fino ad ottenere una temperatura inferiore a quella necessaria al mantenimento della combustione;,Nella separazione del comburente dal combustibile o riduzione della concentrazione di comburente in aria;
"Per ottenere lo spegnimento dell’incendio si può ricorrere al raffreddamento, che consiste",Nell’allontanamento o separazione della sostanza combustibile dal focolaio d’incendio;,Nella separazione del comburente dal combustibile o riduzione della concentrazione di comburente in aria;,Nella sottrazione di calore fino ad ottenere una temperatura inferiore a quella necessaria al mantenimento della combustione;,Nella sottrazione di calore fino ad ottenere una temperatura inferiore a quella necessaria al mantenimento della combustione;
"Gli incendi, in relazione allo stato chimico-fisico dei materiali combustibili, si distinguono in classi:","Si, in cinque classi: A, B, C, D ed F","Si, in tre classi: A, B e C","No, si distinguono in categorie: 1, 2, 3, 4 e 5","Si, in cinque classi: A, B, C, D ed F"
"Gli incendi di Classe A, in relazione allo stato fisico dei materiali combustibili, sono:","incendi di materiali solidi con formazione di braci (carta, cartoni, libri, legna, segatura,  ….)","incendi di liquidi infiammabili e solidi che possono liquefare (petrolio, vernici, nafta, benzina ….)","incendi di gas infiammabili (metano, propano, g.p.l., cloro, idrogeno ….)","incendi di materiali solidi con formazione di braci (carta, cartoni, libri, legna, segatura,  ….)"
"Gli incendi di Classe B, in relazione allo stato fisico dei materiali combustibili, sono:","incendi di materiali solidi con formazione di braci (carta, cartoni, libri, legna, segatura,  ….)","incendi di liquidi infiammabili e solidi che possono liquefare (petrolio, vernici, nafta, benzina ….)","incendi di gas infiammabili (metano, propano, g.p.l., cloro, idrogeno ….)","incendi di liquidi infiammabili e solidi che possono liquefare (petrolio, vernici, nafta, benzina ….)"
